Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "rpusb.brd" as of: 4/11/22 5:58 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,2.567,1.707,270
C2,Top,2.372,1.662,90
C3,Top,1.763,2.452,180
C4,Top,1.211,1.569,0
C5,Top,1.211,1.679,0
C6,Top,0.971,1.889,90
C7,Top,1.211,1.529,0
C8,Top,1.211,1.659,0
C9,Top,1.121,1.889,90
C10,Top,0.971,1.469,270
C11,Top,1.211,1.699,0
C12,Top,0.792,1.629,180
C13,Top,1.211,1.589,0
C14,Top,1.115,1.469,270
C15,Top,0.792,1.649,180
C16,Top,1.300,2.216,0
C17,Top,0.719,2.464,180
C18,Top,1.989,1.718,90
C19,Top,2.336,2.414,270
C20,Top,2.914,2.414,270
C21,Top,2.139,1.293,270
C22,Top,2.314,1.331,270
C23,Top,2.039,1.756,90
C24,Top,2.358,1.162,90
C25,Top,0.799,1.769,270
C26,Top,0.753,1.680,270
C27,Top,1.211,1.549,0
C28,Top,2.950,1.759,90
C29,Top,3.182,1.818,90
C30,Top,3.034,1.405,270
C31,Top,2.911,1.601,180
C32,Top,2.921,1.740,180
C33,Top,3.034,1.818,90
C34,Top,3.349,1.631,0
C35,Top,2.911,1.577,180
C36,Top,3.349,1.656,0
C37,Top,2.921,1.691,180
C38,Top,3.182,1.405,270
C39,Top,2.911,1.626,180
C40,Top,2.561,1.122,180
C41,Top,2.921,1.716,180
C42,Top,3.058,0.512,270
C43,Top,3.349,1.572,270
C44,Top,3.428,1.644,180
C45,Top,1.819,0.912,270
C46,Top,1.498,0.696,90
D1,Top,1.887,0.512,180
D2,Top,0.700,0.150,270
D3,Top,0.600,0.150,270
D4,Top,0.500,0.150,270
D5,Top,1.467,0.153,270
D6,Top,1.393,0.153,270
D7,Top,1.324,0.153,270
D8,Top,1.255,0.153,270
D9,Top,1.186,0.153,270
D11,Top,3.172,2.808,90
D12,Top,3.280,2.808,90
D13,Top,3.399,2.808,90
IC1,Top,2.278,1.194,180
IC2,Top,1.011,1.679,270
IC3,Top,3.138,1.614,90
IC4,Top,1.413,2.066,0
IC5,Top,2.728,1.272,180
IC6,Top,1.658,0.843,90
POWER,Top,1.753,0.223,90
Q1,Top,0.711,1.769,180
Q2,Top,2.470,1.684,180
Q3,Top,3.457,1.552,90
R1,Top,1.251,1.644,0
R2,Top,1.251,1.619,0
R3,Top,1.001,2.514,180
R4,Top,0.793,1.690,0
R5,Top,1.626,2.464,90
R6,Top,2.089,1.318,270
R7,Top,1.220,0.246,90
R8,Top,1.289,0.246,90
R9,Top,1.393,0.246,90
R10,Top,0.594,2.477,180
R11,Top,1.000,0.317,0
R12,Top,1.798,0.522,270
R13,Top,0.600,0.075,180
R14,Top,0.700,0.075,0
R15,Top,0.500,0.075,0
R16,Top,2.872,1.647,180
R17,Top,2.872,1.671,180
R18,Top,3.407,0.464,180
R19,Top,3.349,1.606,180
R21,Top,3.231,2.862,90
R22,Top,3.123,2.862,90
R23,Top,3.344,2.862,90
R24,Top,3.114,0.531,270
TP_5V,Top,2.450,0.600,0
TP_GND,Top,2.750,0.600,0
TP_RP3V3,Top,3.350,0.850,0
TP_USB1V8,Top,2.750,0.850,0
TP_USB3V3,Top,3.050,0.850,0
TP_VBUS,Top,2.450,0.850,0
U$1,Top,2.152,1.513,180
USB_IN,Top,2.228,0.220,0
USB_IN1,Top,2.744,2.734,180
USB_IN2,Top,2.114,2.734,180
