"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"POPULARITY";"SPICEPREFIX";"USE";"VALUE";
"1";"";"PINHD-2X2";"2X02";"I2C_SEL";"PIN HEADER";"";"";"";"";"";"";"";"";"";"0";"";"";"";
"2";"";"PINHD-2X20";"2X20";"GPIO_1, GPIO_2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"12";"";"";"";
"2";"";"PINHD-2X3";"2X03";"LEDS_1, LEDS_2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"62";"";"";"";
"1";"";"PINHD-2X4";"2X04";"SPI_PROG";"PIN HEADER";"";"";"";"";"";"";"";"";"";"47";"";"";"";
"27";"100nF";"C-EUC0201";"C0201";"C4, C5, C6, C7, C8, C9, C10, C11, C12, C14, C15, C16, C18, C22, C24, C28, C29, C30, C31, C32, C33, C34, C35, C36, C38, C39, C40";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"C";"0201X104M160CT";"";
"2";"100uF";"865080142007";"CAPAE530X550N";"C19, C20";"Wurth Elektronik 100uF 25 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 5 (Dia.) x 5.35mm";"";"";"Wurth Elektronik 100uF 25 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 5 (Dia.) x 5.35mm";"5.5mm";"Wurth Elektronik";"865080142007";"710-865080142007";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080142007?qs=0KOYDY2FL2%2Fwso3YmuIP2w%3D%3D";"";"";"";" 865080142007";"";
"4";"10K";"R-EU_R0201";"R0201";"R5, R6, R10, R24";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"R";"CR0201-JW-103GLF";"";
"5";"10uF";"C-EUC0402";"C0402";"C3, C17, C42, C45, C46";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"18";"C";"CL05A106MP5NUNC";"";
"3";"12MHz";"XTAL-4-3225";"NX3225";"Q1, Q2, Q3";"Classic 4-pin 3.2 x 2.5mm crystal";"";"";"";"";"";"";"";"";"";"";"";"RH100-12.000-9-1015-TR-NS1";"";
"6";"15pF";"C-EUC0201";"C0201";"C1, C2, C25, C26, C43, C44";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"C";"0201N150J500CT";"";
