ID,Name,Designator,Package,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Mounted,Stock
1,PINHD-2X2,I2C_SEL,2x02,1,2011-2X02G00SB,Ouplin,Digi-Key,2553-2011-2X02G00SB-ND,Yes,3680
2,PINHD-2X20,"GPIO_1, GPIO_2",2x20,2,302-S401,On Shore Technology Inc,Digi-Key,ED10529-ND,Yes,3597
3,PINHD-2X3,"LEDS_1, LEDS_2",2x03,2,2011-2X03G00SB,Ouplin,Digi-Key,2553-2011-2X03G00SB-ND,Yes,2839
4,PINHD-2X4,SPI_PROG,2x04,1,2011-2X04G00SB,Ouplin,Digi-Key,2553-2011-2X04G00SB-ND,Yes,21730
5,100nF,"C4, C5, C6, C7, C8, C9, C10, C11, C12, C14, C15, C16, C18, C22, C24, C28, C29, C30, C31, C32, C33, C34, C35, C36, C38, C39, C40",C0201,27,0201X104M160CT,Walsin Technology Corp,Digi-Key,1292-1163-1-ND,Yes,54387
6,100uF,"C19, C20",5.30mm,2,865080142007,Wurth Elektronik,Digi-Key,732-8472-1-ND,Yes,17086
7,10K,"R5, R6, R10, R24",R0201,2,CR0201-JW-103GLF,Bourns,Digi-Key,CR0201-JW-103GLFCT-ND,Yes,202064
8,12MHz,"Q1, Q2, Q3",NX3225,3,RH100-12.000-9-1015-TR-NS1,Raltron Electronics,Digi-Key,2151-RH100-12.000-9-1015-TR-NS1CT-ND,Yes,6361
9,15pF,"C1, C2, C25, C26, C43, C44",C0201,6,0201N150J500CT,Walsin Technology Corp,Digi-Key,1292-1139-1-ND,Yes,33130
10,16MB_Flash,"IC4, IC5",SOIC-8N,2,W25Q128JVSIM,Winbond Electronics,Digi-Key,W25Q128JVSIM-ND,Yes,50247
11,1K,"R3, R4, R12, R13, R14, R15, R18, R19, R21, R22, R23",R0201,11,RC0201FR-071KL,Yageo,Digi-Key,311-1KMCT-ND,Yes,3132704
12,1K5,R11,R0201,1,RMCF0201FT1K50,Stackpole Electronics Inc,Digi-Key,RMCF0201FT1K50CT-ND,Yes,103032
13,1uF,"C13, C27, C37, C41",C0201,4,0201B102K250CT,Walsin Technology Corp,Digi-Key,1292-1621-1-ND,Yes,246964
14,27R4,"R1, R2, R16, R17",R0201,4,RC0201FR-0727R4L,Yageo,Digi-Key,YAG2553CT-ND,Yes,32111
15,330R,"R7, R8, R9",R0201,3,RMCF0201FT330R,Stackpole Electronics Inc,Digi-Key,RMCF0201FT330RCT-ND,Yes,386860
16,4.7uF,"C21, C23",C0402,2,CL05A475MP5NRNC,Samsung Electro-mechanics,Digi-Key,1276-1482-1-ND,Yes,5490453
17,AP7362-33SP-13,IC6,8-SO-EP,1,AP7362-33SP-13,Diodes Inc,Digi-Key,AP7362-33SP-13DICT-ND,Yes,1315
18,B3F-1005,"BOOT_1, BOOT_2, RESET_1, RESET_2, USB_RESET",TACTILE-PTH,5,B3F-1005,Omron Electronics,Digi-Key,SW793-ND,Yes,4547
19,CHIPLED,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D11, D12, D13",LED-0603,12,B1931NG--20D001114U1930,Harvatek Corporation,Digi-Key,3147-B1931NG--20D001114U1930CT-ND,Yes,19486
20,JS202011SCQN,POWER,DPDT,1,JS202011SCQN,C&K,Digi-Key,401-2002-1-ND,Yes,16460
21,M24C02-FMH6TG,IC1,5-UFDFN,1,M24C02-FMH6TG,STMicroElectronics,Digi-Key,497-17566-1-ND,Yes,11821
22,RP2040,"IC2, IC3",56-VFQFN,2,SC0914(13),Raspberry Pi,Digi-Key,2648-SC0914(13)CT-ND,Yes,60210
23,S1751-46R,"TP_RP3V3, TP_5V, TP_GND, TP_VBUS,TP_USB3V3,TP_USB1V8",3.25x1.65,6,S1751-46,Harwin Inc,Digi-Key,952-3024-ND,Yes,11272
25,USB micro B,"USB_IN, USB_IN1, USB_IN2",U254051T4BHJ25S2S,3,U254-051T-4BHJ25-S2S,XKB Connectivity,LCSC,C319163,Yes,84280
24,USB Hub,U$1,SSOP28-0.635,1,SL2.2S,Corechips,LCSC,C2684434,Yes,11658
